alignment_pos,count
PONCT-VBG,14
ET-.,14
CLO-VBG,14
ET-RB,14
CS-PRP,14
ET-NN,13
ADJ-.,13
PROREL-NN,13
PROREL-VBG,13
PRO-CD,13
CLS-VBP,13
DET-WDT,12
P-VBP,12
NPP-RB,12
NPP-VB,12
CLS-TO,12
CLO-MD,12
CLO-RP,12
ADJ-VB,12
VPR-PRP,12
NC-WRB,12
ET-IN,12
PROREL-PRP,12
CLR-PRP$,12
VPP-PRP$,12
CLS-EX,12
PROREL-WRB,12
DET-WRB,12
NC-MD,11
"VPR-,",11
PROREL-VBD,11
ET-NNS,11
VPR-RP,11
NC-WDT,11
ET-``,11
NC-.,11
"CC-,",11
ADV-JJR,11
DET-VBZ,11
PRO-VBD,11
CLS-PRP$,11
PONCT-PRP$,11
NC-VBP,10
P-CD,10
PRO-VB,10
CLS-NNP,10
"ADV-,",10
VINF-VBP,10
ADJ-CC,10
CLS-JJ,10
PONCT-RP,10
ET-VB,10
ADV-VBG,10
DET-.,10
ADV-RP,10
CS-WDT,10
DET-WP,10
DET-PDT,10
V-EX,10
VINF-NNP,10
P-WDT,9
PRO-VBP,9
CC-JJ,9
CS-JJ,9
CLS-NNS,9
VPR-RB,9
P-MD,9
NPP-JJ,9
CLS-VBG,9
PRO-RB,8
VINF-MD,8
PRO-TO,8
ADJ-JJS,8
ADV-PRP$,8
NC-WP,8
PRO-WP,8
CS-VB,8
PROREL-VBN,8
ADV-JJS,8
CLR-JJ,8
CLR-MD,7
ADJ-TO,7
CS-TO,7
PROREL-CC,7
VPR-TO,7
PROREL-JJ,7
ADV-EX,7
VS-VBD,7
P-WP,7
CLR-VBZ,7
PONCT-TO,7
DET-MD,7
NC-'',7
PRO-PDT,7
ADV-PDT,7
CLS-VBZ,7
ET-DT,7
V-WP,7
VPP-MD,7
CLR-NNS,7
P-NNPS,6
CS-``,6
CLR-DT,6
CC-``,6
V-WRB,6
PRO-NNS,6
ADJ-VBZ,6
CLS-CC,6
P-PDT,6
ADJ-RP,6
CLO-NNS,6
NC-POS,6
CC-VB,6
VPR-VB,6
VPR-JJ,6
CS-WP,6
VPP-VBP,6
CS-PRP$,6
V-.,6
ET-VBN,6
NC-PDT,6
PRO-PRP$,5
V-WDT,5
CC-VBG,5
NPP-NNS,5
ADV-RBS,5
CS-MD,5
ADJ-MD,5
CS-NNP,5
CS-VBN,5
PROWH-WP,5
PROREL-RB,5
CLO-NNP,5
ADJ-WP,5
VPP-VBZ,5
CC-DT,5
P-.,5
ADJ-VBP,5
NPP-PRP$,5
NC-``,5
NPP-CC,5
PRO-WDT,5
NPP-VBN,5
"PROREL-,",5
CS-'',5
VINF-CC,4
PROREL-VBZ,4
PONCT-'',4
PROREL-PRP$,4
CS-NNS,4
"CLR-,",4
"VINF-,",4
PRO-MD,4
PROREL-RP,4
DET-POS,4
PONCT-WRB,4
ADJ-:,4
PONCT-WDT,4
PONCT-VBZ,4
ET-JJ,4
VS-VBN,4
NPP-VBZ,4
PROREL-NNS,4
VPR-DT,4
PRO-WRB,4
ADJ-WDT,4
ADV-UH,4
CC-VBD,4
NPP-WRB,4
PRO-VBN,4
VPR-CC,4
VPR-NNS,4
ADJ-WRB,4
CLO-JJ,4
CC-NNP,4
ADV-WRB,4
VPP-NNS,4
VPR-PRP$,4
VPR-VBN,4
VPP-:,3
V-CD,3
VPP-NNP,3
VPR-WRB,3
VS-PRP,3
PRO-VBZ,3
V-PDT,3
PROREL-NNP,3
VPP-.,3
PROREL-VBP,3
PROREL-WP$,3
PRO-CC,3
PROREL-TO,3
V-NNPS,3
PRO-VBG,3
VINF-VBZ,3
PRO-RP,3
ADJ-'',3
"PRO-,",3
CC-'',3
CC-PRP,3
NPP-RP,3
NPP-NNPS,3
CC-VBN,3
NPP-:,3
DET-NNPS,3
NC-EX,3
CLO-EX,3
CLO-VBZ,3
CLO-WDT,3
CLS-RP,3
CLS-WDT,3
CLS-WP,3
CLS-WRB,3
DET-VBP,3
NPP-UH,3
DET-RBS,3
ADV-WP,3
PONCT-WP,3
ADVWH-PRP,2
CLS-PDT,2
CLR-CC,2
CLR-NNP,2
CLR-VBP,2
VINF-CD,2
VINF-:,2
VINF-.,2
VINF-'',2
CLS-CD,2
CLS-NNPS,2
VS-NN,2
VS-MD,2
VS-TO,2
VS-VB,2
"CS-,",2
CS-CC,2
CS-VBP,2
CS-VBZ,2
DET-EX,2
V-JJR,2
ADJ-JJR,2
CLO-WP,2
VINF-POS,2
ADVWH-WDT,2
VPP-JJR,2
VPP-WDT,2
CC-.,2
CC-NNS,2
VPP-WRB,2
ADV-WDT,2
CC-TO,2
ADV-CD,2
VPR-MD,2
ADJWH-VB,2
CL-MD,2
VPR-VBZ,2
CL-VB,2
ADJ-RBS,2
VINF-WRB,2
VINF-WP,2
CL-VBN,2
CLO-CD,2
ADJ-RBR,2
ADJ-POS,2
CLO-POS,2
VINF-``,2
VS-VBP,2
ET-VBD,2
ET-MD,2
ET-VBP,2
PROREL-VB,2
ET-UH,2
I-UH,2
ET-PRP$,2
P-JJS,2
P-JJR,2
ET-PRP,2
PONCT-MD,2
PONCT-NNPS,2
P-UH,2
NPP-TO,2
NC-JJS,2
DET-``,2
NPP-VBP,2
NPP-VBG,2
CC-RP,1
ADV-NNPS,1
CC-VBP,1
PROREL-EX,1
VPR-EX,1
VPP-POS,1
P-RBS,1
PROREL-CD,1
ADVWH-WRB,1
ADVWH-IN,1
NPP-WP,1
NPP-WDT,1
VPP-WP,1
P-EX,1
P-``,1
ADVWH-RB,1
ADVWH-VBZ,1
P-'',1
DET-WP$,1
ADJWH-WRB,1
VPR-NNP,1
ADJ-EX,1
PREF-RP,1
PRO-EX,1
PREF-MD,1
VS-RB,1
VS-PRP$,1
ADJ-LS,1
PREF-DT,1
PREF-'',1
VS-JJ,1
VS-IN,1
VS-DT,1
VS-.,1
ADJ-NNPS,1
VPR-WP,1
PRO-NNP,1
PONCT-RBS,1
ADJ-``,1
ADJWH-MD,1
ADJWH-NN,1
ADJWH-PRP,1
ADJWH-PRP$,1
PONCT-CD,1
CC-WRB,1
ADJWH-VBN,1
CC-VBZ,1
CL-NNS,1
NC-UH,1
PROWH-VB,1
ET-RP,1
CLS-.,1
PREF-VB,1
VIMP-VB,1
VIMP-PRP,1
PROWH-DT,1
PROWH-MD,1
CLS-RBS,1
PROWH-NN,1
PROWH-NNP,1
PROWH-RB,1
ET-CC,1
VINF-EX,1
CS-NNPS,1
V-RBS,1
V-RBR,1
CS-POS,1
CS-VBG,1
DETWH-WP,1
V-POS,1
DETWH-DT,1
DET-'',1
DET-JJR,1
DET-JJS,1
CLR-WP,1
CLR-RBR,1
CL-DT,1
CL-WDT,1
PROREL-MD,1
VPP-EX,1
CL-NN,1
DET-LS,1
CL-PRP,1
NC-RBS,1
CL-VBG,1
NC-RBR,1
PROREL-NNPS,1
PROREL-PDT,1
CL-VBZ,1
CL-WP,1
ET-WDT,1
CL-WRB,1
NC-JJR,1
I-VBD,1
CLO-PDT,1
VINF-RBR,1
PROREL-RBS,1
CLO-RBR,1
I-NN,1
I-CC,1
"I-,",1
CLR-EX,1
VIMP-VBP,1
